,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,5DAvg,10DAvg,20DAvg,RSI,TR,ATR,BolU,BolL,EMAs,EMAl,MACD,StoK,StoD,DMP,DMM,DI14P,DI14N,ADX,index,Revenue,COGS,GrossProfit,OperatingIncome,PreTaxIncome,IncomeAfterTax,IncomeFromContinuousOperations,NetIncome,EBITDA,SharesOutstanding,Basic EPS,EPS,Current,D/E,ITR,ROE,ROA,BVPS,OCFPS,FCFPS
0,2020-04-08 00:00:00-04:00,280.6864575,282.8115718,278.0830065,281.4776306,3964400,0,0,,,,,66.11499023,,,,,,,,,,,,,,2/28/2025,63723,55744,7979,2316,2422,1788,1788,1788,2868,444,4.03,4.02,0.9972,0.225,2.9724,6.9907,2.4418,57.6409,61.77,3.6212
1,2020-04-09 00:00:00-04:00,275.4794279,279.9871837,273.7590954,275.9945984,6487600,0,0,,,,,7.718535221,,,,,,,,,0,0,,,,11/30/2024,62151,54109,8042,2196,2306,1798,1798,1798,2744,444,4.05,4.04,0.98,0.235,2.5792,7.4545,2.4501,55.077,7.3276,4.4865
2,2020-04-13 00:00:00-04:00,274.6791677,279.6193319,273.8328278,275.6359253,3120400,0,0,,,,,5.786504084,,,,,,,,20.73277858,0,0.073732419,,,,8/31/2024,79697,69588,10109,3042,3113,2354,2354,2354,3748,444,5.29,5.28,0.9657,0.2453,3.7319,9.9653,3.371,53.3076,6.6537,3.1069
3,2020-04-14 00:00:00-04:00,278.5153298,289.5547483,277.1354024,288.9935913,4288300,0,0,,,,,13.91882298,,,,,,,,96.44739619,9.935416378,0,,,,5/31/2024,58515,51173,7342,2197,2284,1681,1681,1681,2713,444,3.79,3.78,0.9414,0.3174,2.9359,7.7213,2.4753,49.103,6.74,4.3532
4,2020-04-15 00:00:00-04:00,286.6937374,288.6348219,282.2595639,285.4333801,2937300,0,0,281.5070251,,,,6.734027438,,,,,,,,73.78584787,0,5.124161432,,,,2/29/2024,58442,51140,7302,2062,2237,1743,1743,1743,2576,444,3.93,3.92,0.9267,0.3345,2.995,8.396,2.628,46.8043,1.635,-0.6809
5,2020-04-16 00:00:00-04:00,289.536354,296.8039655,287.0616822,295.8196106,3940000,0,0,284.3754211,,,,11.37058534,,,,,,,,94.99528832,8.169143583,0,,,,11/30/2023,57799,50457,7342,1984,2106,1589,1589,1589,2485,444,3.58,3.58,1.0901,0.2657,2.803,6.0772,2.1554,58.9179,10.4657,8.1255
6,2020-04-17 00:00:00-04:00,295.5896911,296.3440583,288.8832351,292.4710693,3688000,0,0,287.6707153,,,,7.460823205,,,,,,,,70.20918253,0,1.821552922,,,,8/31/2023,78939,69219,9720,2781,2963,2160,2160,2160,3469,444,4.87,4.86,1.0684,0.2577,4.157,8.62,3.1307,56.5908,8.37,4.878
7,2020-04-20 00:00:00-04:00,292.4985264,292.8940987,286.5924267,287.0983887,3156300,0,0,289.963208,,,,6.301672005,,,,,,,,4.954806468,0,0,,,,5/31/2023,53649,47175,6473,1679,1771,1302,1302,1302,2151,444,2.94,2.93,1.0814,0.2756,2.8899,5.52,1.9505,53.1855,3.4713,1.6248
8,2020-04-21 00:00:00-04:00,286.2337348,286.9236984,275.3874983,277.2089844,3833000,0,0,287.6062866,,,,11.71089037,,,,,,,,8.691722669,0,0,,,,2/28/2023,55266,48423,6843,1903,1983,1466,1466,1466,2373,444,3.3,3.3,1.0558,0.2887,3.0112,6.43,2.193,51.4012,7.1822,5.1796
9,2020-04-22 00:00:00-04:00,279.6653083,286.2245682,277.8622109,284.6514587,2970600,0,0,287.4499023,284.4784637,,,9.015583864,,,,,,,,52.91695836,0,2.474712609,,,,11/30/2022,54437,47769,6668,1751,1770,1364,1364,1364,2198,444,3.07,3.07,1.0328,0.3047,2.5722,6.3513,2.0658,48.3867,5.8713,3.4936
10,2020-04-23 00:00:00-04:00,282.4527422,284.8538305,280.3920595,280.9532166,2625200,0,0,284.4766235,284.4260223,,,4.461770931,,,,,,,,48.24568044,0,2.529848638,,,,8/31/2022,72091,63558,8533,2497,2516,1878,1878,1868,3098,444,4.2,4.2,1.0218,0.3176,3.5493,9.0958,2.9268,46.6426,5.6377,2.8052
11,2020-04-24 00:00:00-04:00,282.7287033,285.9485338,281.0544128,285.6909485,2019400,0,0,283.1205994,285.3956573,,,4.99531725,,,,,,,,93.61878797,1.094703326,0,,,,5/31/2022,52596,46355,6241,1791,1827,1372,1372,1353,2222,444,3.05,3.04,1.0365,0.321,2.6304,"66,884",2.1487,46.3017,2.7586,0.8387
